ID,Name_ID,Desc_ID,Icon_ID,skillType,damageType,SkillGroup,skillreinforce,maxskillreinforce,coolTime,reqMana,damageFigure,criticalPercent,criticalDamage,stunTime,kBForce,slowDown,slowTime,reduceDef,reduceDefTime,"exception참조하지 않는 데이터 칼럼, CSV 저장시 삭제",desc,,,,,,,,,,,,,,,,,,,
10001,130077,140014,150041,1,1,1,0,5,6.0,30,0.4,0,1.5,0,7.0,0,0,0.1,2,"""+0 화염구""","""전방을 향해 타오르는 구체를 발사 합니다.\n적중 당한 몬스터는 마법 공격력의 1.1배의 피해를 6초에 거쳐 입습니다.""",,,,,,,,,,,,,,,,,,,
10002,130078,140014,150041,1,1,1,1,5,6.0,30,0.4,0,1.5,0,7.0,0,0,0.1,2,"""+1 화염구""",,,,,,,,,,,,,,,,,,,,
10003,130079,140014,150041,1,1,1,2,5,6.0,30,0.4,0,1.5,0,7.0,0,0,0.1,2,"""+2 화염구""",,,,,,,,,,,,,,,,,,,,
10004,130080,140014,150041,1,1,1,3,5,6.0,30,0.4,0,1.5,0,7.0,0,0,0.1,2,"""+3 화염구""",,,,,,,,,,,,,,,,,,,,
10005,130081,140014,150041,1,1,1,4,5,6.0,30,0.4,0,1.5,0,7.0,0,0,0.1,2,"""+4 화염구""",,,,,,,,,,,,,,,,,,,,
10006,130082,140014,150041,1,1,1,5,5,6.0,30,0.4,0,1.5,0,7.0,0,0,0.1,2,"""+5 화염구""",,,,,,,,,,,,,,,,,,,,
10007,130083,140015,150042,1,1,2,0,5,8.0,30,0.4,0,1.5,0,7.0,0,0,0,0,"""+0 굽이치는 파도""","""전방을 향해 물의 구체를 발사 합니다. 한번에 투사체를 두 번씩 발사 합니다. 마법 공격력의 (1.1*2)배의 마법 피해를 입힙니다.""",,,,,,,,,,,,,,,,,,,
10008,130084,140015,150042,1,1,2,1,5,8.0,30,0.4,0,1.5,0,7.0,0,0,0,0,"""+1 굽이치는 파도""",,,,,,,,,,,,,,,,,,,,
10009,130085,140015,150042,1,1,2,2,5,8.0,30,0.4,0,1.5,0,7.0,0,0,0,0,"""+2 굽이치는 파도""",,,,,,,,,,,,,,,,,,,,
10010,130086,140015,150042,1,1,2,3,5,8.0,30,0.4,0,1.5,0,7.0,0,0,0,0,"""+3 굽이치는 파도""",,,,,,,,,,,,,,,,,,,,
